Model,RMSD threshold (Å),N,Pos,Neg,PR-AUC,ROC-AUC,F1,Balanced accuracy,Sensitivity,Specificity,Precision,MCC,NPV,Accuracy,TP,TN,FP,FN
DockF,2.5,10,2,8,0.8333333333333333,0.9375,0.5,0.6875,0.5,0.875,0.5,0.375,0.875,0.8,1,7,1,1
DockF+LigF,2.5,10,2,8,0.8333333333333333,0.9375,0.6666666666666666,0.875,1.0,0.75,0.5,0.6123724356957946,1.0,0.8,2,6,2,0
DockF+MDF,2.5,10,2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,8,0,0
DockF+LigF+MDF,2.5,10,2,8,1.0,1.0,0.8,0.9375,1.0,0.875,0.6666666666666666,0.7637626158259734,1.0,0.9,2,7,1,0
DockF,5.0,10,2,8,0.75,0.875,0.5,0.6875,0.5,0.875,0.5,0.375,0.875,0.8,1,7,1,1
DockF+LigF,5.0,10,2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,8,0,0
DockF+MDF,5.0,10,2,8,1.0,1.0,0.6666666666666666,0.875,1.0,0.75,0.5,0.6123724356957946,1.0,0.8,2,6,2,0
DockF+LigF+MDF,5.0,10,2,8,1.0,1.0,0.6666666666666666,0.875,1.0,0.75,0.5,0.6123724356957946,1.0,0.8,2,6,2,0
