Model,RMSD (Å),PR-AUC,ROC-AUC,F1,Balanced accuracy,Decision threshold,Sensitivity,Specificity,Precision,MCC,NPV,Accuracy
DockF,2.5,0.628 ± 0.040,0.779 ± 0.013,0.614 ± 0.018,0.750 ± 0.014,0.567 ± 0.142,0.630 ± 0.063,0.869 ± 0.046,0.613 ± 0.081,0.497 ± 0.033,0.885 ± 0.012,0.813 ± 0.022
DockF+LigF,2.5,0.685 ± 0.032,0.810 ± 0.014,0.670 ± 0.023,0.777 ± 0.012,0.679 ± 0.098,0.633 ± 0.039,0.920 ± 0.032,0.719 ± 0.071,0.580 ± 0.037,0.891 ± 0.008,0.852 ± 0.018
DockF+MDF,2.5,0.691 ± 0.020,0.821 ± 0.013,0.658 ± 0.018,0.771 ± 0.015,0.498 ± 0.148,0.633 ± 0.066,0.909 ± 0.043,0.699 ± 0.080,0.564 ± 0.030,0.890 ± 0.014,0.844 ± 0.019
DockF+LigF+MDF,2.5,0.697 ± 0.026,0.819 ± 0.013,0.666 ± 0.022,0.775 ± 0.014,0.518 ± 0.105,0.629 ± 0.041,0.920 ± 0.026,0.715 ± 0.056,0.576 ± 0.032,0.890 ± 0.009,0.852 ± 0.015
DockF,5.0,0.640 ± 0.021,0.711 ± 0.019,0.598 ± 0.017,0.674 ± 0.020,0.362 ± 0.130,0.681 ± 0.087,0.668 ± 0.112,0.545 ± 0.055,0.343 ± 0.041,0.793 ± 0.022,0.673 ± 0.043
DockF+LigF,5.0,0.679 ± 0.035,0.767 ± 0.020,0.654 ± 0.017,0.728 ± 0.014,0.421 ± 0.176,0.689 ± 0.072,0.768 ± 0.076,0.632 ± 0.050,0.454 ± 0.032,0.819 ± 0.028,0.740 ± 0.027
DockF+MDF,5.0,0.726 ± 0.017,0.805 ± 0.014,0.673 ± 0.015,0.740 ± 0.013,0.226 ± 0.079,0.775 ± 0.054,0.704 ± 0.057,0.597 ± 0.034,0.464 ± 0.026,0.851 ± 0.022,0.730 ± 0.021
DockF+LigF+MDF,5.0,0.714 ± 0.018,0.804 ± 0.013,0.672 ± 0.016,0.740 ± 0.015,0.236 ± 0.105,0.762 ± 0.067,0.718 ± 0.073,0.608 ± 0.047,0.467 ± 0.031,0.846 ± 0.025,0.734 ± 0.027
